ALogP,nHBAcc,LipinskiFailures,Label
0.8989,2.0,0.0,0
0.6002000000000003,0.0,0.0,0
-1.2775,3.0,0.0,0
-1.0018,3.0,0.0,0
-0.6837000000000002,4.0,1.0,0
-0.1137999999999999,1.0,0.0,0
0.4561999999999999,0.0,1.0,0
3.2612,0.0,0.0,0
1.5200000000000005,0.0,0.0,0
0.6545000000000001,1.0,0.0,0
-0.7001000000000001,2.0,0.0,0
1.0282999999999998,0.0,0.0,0
0.8629,3.0,0.0,0
0.6601000000000001,0.0,0.0,0
1.3021000000000005,0.0,0.0,0
-0.0897999999999998,1.0,0.0,0
0.6083000000000001,0.0,0.0,0
1.3202000000000005,0.0,0.0,0
-0.4795999999999999,5.0,0.0,0
1.4427999999999996,0.0,0.0,0
0.7075,1.0,0.0,0
-1.0436,2.0,0.0,0
1.7776,0.0,0.0,0
1.3863,0.0,0.0,0
-0.0056,1.0,0.0,0
1.4634000000000005,0.0,0.0,0
-0.0056,1.0,0.0,0
1.3595000000000004,1.0,0.0,0
0.7443,0.0,0.0,0
-2.7774,0.0,1.0,0
-1.2775,3.0,0.0,0
-1.5433,6.0,0.0,0
2.5025000000000004,0.0,0.0,0
1.2603000000000004,6.0,0.0,0
0.2335999999999999,1.0,0.0,0
1.0712999999999997,1.0,0.0,0
0.4203000000000001,2.0,0.0,0
-1.3301999999999998,4.0,0.0,0
0.1642000000000005,5.0,0.0,0
